HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:18287	VPS37D	VPS37D subunit of ESCRT-I	Approved	gene with protein product	WBSCR24	MGC35352	7q11.23	155382	ENSG00000176428	OTTHUMG00000157227	1116	ESCRT-I
HGNC:17028	SNF8	SNF8 subunit of ESCRT-II	Approved	gene with protein product		EAP30, VPS22, Dot3	17q21.32	11267	ENSG00000159210	OTTHUMG00000160569	1117	ESCRT-II
HGNC:28122	VPS25	vacuolar protein sorting 25 homolog	Approved	gene with protein product		MGC10540, EAP20, DERP9	17q21.31	84313	ENSG00000131475	OTTHUMG00000180649	1117	ESCRT-II
HGNC:20312	VPS36	vacuolar protein sorting 36 homolog	Approved	gene with protein product	C13orf9	CGI-145, Eap45	13q14.3	51028	ENSG00000136100	OTTHUMG00000016964	1117	ESCRT-II
HGNC:30216	CHMP2A	charged multivesicular body protein 2A	Approved	gene with protein product		BC-2, CHMP2, VPS2, VPS2A	19q13.43	27243	ENSG00000130724	OTTHUMG00000183547	1118	ESCRT-III
HGNC:24537	CHMP2B	charged multivesicular body protein 2B	Approved	gene with protein product		DKFZP564O123, CHMP2.5, VPS2B	3p11.2	25978	ENSG00000083937	OTTHUMG00000158982	1118	ESCRT-III
HGNC:29865	CHMP3	charged multivesicular body protein 3	Approved	gene with protein product	VPS24	NEDF, CGI-149	2p11.2	51652	ENSG00000115561	OTTHUMG00000153189	1118	ESCRT-III
HGNC:20274	CHMP4A	charged multivesicular body protein 4A	Approved	gene with protein product	C14orf123	HSPC134, VPS32A	14q12	29082	ENSG00000254505	OTTHUMG00000167036	1118	ESCRT-III
HGNC:16171	CHMP4B	charged multivesicular body protein 4B	Approved	gene with protein product	C20orf178	dJ553F4.4, Shax1, SNF7-2, VPS32B	20q11.22	128866	ENSG00000101421	OTTHUMG00000032272	1118	ESCRT-III
HGNC:30599	CHMP4C	charged multivesicular body protein 4C	Approved	gene with protein product		MGC22825, Shax3, VPS32C	8q21.13	92421	ENSG00000164695	OTTHUMG00000164726	1118	ESCRT-III
HGNC:25675	CHMP6	charged multivesicular body protein 6	Approved	gene with protein product		FLJ11749, VPS20	17q25.3	79643	ENSG00000176108	OTTHUMG00000177645	1118	ESCRT-III
HGNC:8740	CHMP1A	charged multivesicular body protein 1A	Approved	gene with protein product	PRSM1, PCOLN3	KIAA0047, CHMP1, Vps46A	16q24.3	5119	ENSG00000131165	OTTHUMG00000169521	1119	ESCRT-III associated factors
HGNC:24287	CHMP1B	charged multivesicular body protein 1B	Approved	gene with protein product		CHMP1.5, C18orf2, Vps46B	18p11.21	57132	ENSG00000255112	OTTHUMG00000165820	1119	ESCRT-III associated factors
HGNC:26942	CHMP5	charged multivesicular body protein 5	Approved	gene with protein product	C9orf83, SNF7DC2	HSPC177, CGI-34, Vps60	9p13.3	51510	ENSG00000086065	OTTHUMG00000019765	1119	ESCRT-III associated factors
HGNC:28439	CHMP7	charged multivesicular body protein 7	Approved	gene with protein product		MGC29816	8p21.3	91782	ENSG00000147457	OTTHUMG00000131785	1119	ESCRT-III associated factors
HGNC:28977	IST1	IST1 factor associated with ESCRT-III	Approved	gene with protein product	KIAA0174	CHMP8	16q22.2	9798	ENSG00000182149	OTTHUMG00000137597	1119	ESCRT-III associated factors
HGNC:13488	VPS4A	vacuolar protein sorting 4 homolog A	Approved	gene with protein product		VPS4, VPS4-1, FLJ22197, SKD2, SKD1, SKD1A	16q23.1	27183	ENSG00000132612	OTTHUMG00000175589	1120	ESCRT-IV
HGNC:10895	VPS4B	vacuolar protein sorting 4 homolog B	Approved	gene with protein product	SKD1	VPS4-2, SKD1B	18q21.33	9525	ENSG00000119541	OTTHUMG00000132790	1120	ESCRT-IV
HGNC:20954	VTA1	vesicle trafficking 1	Approved	gene with protein product	C6orf55	HSPC228, My012	6q24.1-q24.2	51534	ENSG00000009844	OTTHUMG00000015707	1120	ESCRT-IV
